"iso_2","iso_3","country","year","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"BE","BEL","Belgium",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8723787035475,42.5170068027211,56.1178965845096,38.7625246836832,20.4409937370216,3.08562183619518
"BE","BEL","Belgium",2018,5.62921348314607,NA,84.1685393258427,288,26.8651685393258,3362.68539325843,0,72.5842696629213,40.04,0,10,47.5842696629214,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE","BEL","Belgium",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.089839687177,40.7344677863506,56.7991250934912,39.4443370966406,20.1126768960198,2.75730499519335
"BE","BEL","Belgium",2020,5.62921348314607,NA,84.1685393258427,288,26.8651685393258,3362.68539325843,0,72.5842696629213,40.04,0,10,47.5842696629214,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","CAN","Canada",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67872958397535,57.24,0,8.97,66.21,7.92758089368259,NA,NA,NA,NA,NA,NA
"CA","CAN","Canada",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6241441509434,57.24,0,8.97,66.21,7.76603773584906,NA,NA,NA,NA,NA,NA
"CA","CAN","Canada",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0342784949008,21.3439150046802,27.1131781659525,16.4228146757319,8.95019575707912,0
"CA","CAN","Canada",2018,NA,NA,48.4615384615385,48.4615384615385,NA,917.692307692308,0,82.9230769230769,0,NA,NA,103.653846153846,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","CAN","Canada",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9712666666667,21.1666666666667,26.9747899159664,16.1344537815126,9.03302101337215,0
"CA","CAN","Canada",2020,NA,NA,49.0977443609023,49.0977443609023,NA,930.451127819549,0,91.6466165413534,0,NA,NA,114.556390977444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH","CHE","Switzerland",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37756345177665,28.45,25,7.41,60.86,8.62944162436548,NA,NA,NA,NA,NA,NA
"CH","CHE","Switzerland",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37756345177665,28.45,25,7.41,60.86,8.62944162436548,NA,NA,NA,NA,NA,NA
"CH","CHE","Switzerland",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5747838430765,47.1673764356691,53.9489820946775,46.5415746872701,33.7957124842371,26.3883050768297
"CH","CHE","Switzerland",2018,NA,NA,0,0,0,2929.29292929293,1,119.515151515152,25,5.65656565656566,1,38.3838383838384,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH","CHE","Switzerland",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.524217327923,47.1168099205156,52.0060711292679,44.8566051351062,35.7783967811823,28.628907458991
"CH","CHE","Switzerland",2020,NA,NA,0,0,0,2929.29292929293,1,119.515151515152,25,5.65656565656566,1,38.3838383838384,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL","CHL","Chile",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364883159637134,43.16,30,15.97,89.13,3.35679079702975,NA,NA,NA,NA,NA,NA
"CL","CHL","Chile",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349724207410208,43.16,30,15.97,89.13,3.21733401481333,NA,NA,NA,NA,NA,NA
