"iso_2","iso_3","country","tobacco_excise_type","tobacco_excise","oecd_avg_excise"
"FI","FIN","Finland","cigar_excise_1k_pct_rsp",34,13.9810714285714
"FR","FRA","France","cigar_excise_1k_pct_rsp",32.3,13.9810714285714
"GB","GBR","United Kingdom","cigar_excise_1k_pct_rsp",0,13.9810714285714
"GR","GRC","Greece","cigar_excise_1k_pct_rsp",35,13.9810714285714
"HU","HUN","Hungary","cigar_excise_1k_pct_rsp",14,13.9810714285714
"IE","IRL","Ireland","cigar_excise_1k_pct_rsp",0,13.9810714285714
"IL","ISR","Israel","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"IS","ISL","Iceland","cigar_excise_1k_pct_rsp",0,13.9810714285714
"IT","ITA","Italy","cigar_excise_1k_pct_rsp",23,13.9810714285714
"JP","JPN","Japan","cigar_excise_1k_pct_rsp",0,13.9810714285714
"KR","KOR","Korea","cigar_excise_1k_pct_rsp",0,13.9810714285714
"LT","LTU","Lithuania","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"LU","LUX","Luxembourg","cigar_excise_1k_pct_rsp",10,13.9810714285714
"LV","LVA","Latvia","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"MX","MEX","Mexico","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"NL","NLD","Netherlands","cigar_excise_1k_pct_rsp",8,13.9810714285714
"NO","NOR","Norway","cigar_excise_1k_pct_rsp",0,13.9810714285714
"NZ","NZL","New Zealand","cigar_excise_1k_pct_rsp",0,13.9810714285714
"PL","POL","Poland","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"PT","PRT","Portugal","cigar_excise_1k_pct_rsp",25,13.9810714285714
"SE","SWE","Sweden","cigar_excise_1k_pct_rsp",0,13.9810714285714
"SI","SVN","Slovenia","cigar_excise_1k_pct_rsp",6.3,13.9810714285714
"SK","SVK","Slovak Republic","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"TR","TUR","Turkey","cigar_excise_1k_pct_rsp",80,13.9810714285714
"US","USA","United States","cigar_excise_1k_pct_rsp",NA,13.9810714285714
"AT","AUT","Austria","cigarette_excise_1k_pct_rsp",37.5,24.9994285714286
"AU","AUS","Australia","cigarette_excise_1k_pct_rsp",0,24.9994285714286
"BE","BEL","Belgium","cigarette_excise_1k_pct_rsp",40.04,24.9994285714286
"CA","CAN","Canada","cigarette_excise_1k_pct_rsp",0,24.9994285714286
"CH","CHE","Switzerland","cigarette_excise_1k_pct_rsp",25,24.9994285714286
"CL","CHL","Chile","cigarette_excise_1k_pct_rsp",30,24.9994285714286
"CO","COL","Colombia","cigarette_excise_1k_pct_rsp",10,24.9994285714286
"CZ","CZE","Czech Republic","cigarette_excise_1k_pct_rsp",30,24.9994285714286
"DE","DEU","Germany","cigarette_excise_1k_pct_rsp",21.69,24.9994285714286
"DK","DNK","Denmark","cigarette_excise_1k_pct_rsp",1,24.9994285714286
"EE","EST","Estonia","cigarette_excise_1k_pct_rsp",30,24.9994285714286
"ES","ESP","Spain","cigarette_excise_1k_pct_rsp",51,24.9994285714286
"FI","FIN","Finland","cigarette_excise_1k_pct_rsp",52,24.9994285714286
"FR","FRA","France","cigarette_excise_1k_pct_rsp",52.7,24.9994285714286
"GB","GBR","United Kingdom","cigarette_excise_1k_pct_rsp",16.5,24.9994285714286
"GR","GRC","Greece","cigarette_excise_1k_pct_rsp",26,24.9994285714286
"HU","HUN","Hungary","cigarette_excise_1k_pct_rsp",23,24.9994285714286
"IE","IRL","Ireland","cigarette_excise_1k_pct_rsp",9.04,24.9994285714286
"IL","ISR","Israel","cigarette_excise_1k_pct_rsp",NA,24.9994285714286
"IS","ISL","Iceland","cigarette_excise_1k_pct_rsp",0,24.9994285714286
"IT","ITA","Italy","cigarette_excise_1k_pct_rsp",59.1,24.9994285714286
"JP","JPN","Japan","cigarette_excise_1k_pct_rsp",0,24.9994285714286
"KR","KOR","Korea","cigarette_excise_1k_pct_rsp",64.76,24.9994285714286
"LT","LTU","Lithuania","cigarette_excise_1k_pct_rsp",25,24.9994285714286
"LU","LUX","Luxembourg","cigarette_excise_1k_pct_rsp",46.65,24.9994285714286
"LV","LVA","Latvia","cigarette_excise_1k_pct_rsp",20,24.9994285714286
"MX","MEX","Mexico","cigarette_excise_1k_pct_rsp",39.07,24.9994285714286
"NL","NLD","Netherlands","cigarette_excise_1k_pct_rsp",5,24.9994285714286
"NO","NOR","Norway","cigarette_excise_1k_pct_rsp",0,24.9994285714286
"NZ","NZL","New Zealand","cigarette_excise_1k_pct_rsp",0,24.9994285714286
"PL","POL","Poland","cigarette_excise_1k_pct_rsp",32.05,24.9994285714286
"PT","PRT","Portugal","cigarette_excise_1k_pct_rsp",15,24.9994285714286
"SE","SWE","Sweden","cigarette_excise_1k_pct_rsp",1,24.9994285714286
"SI","SVN","Slovenia","cigarette_excise_1k_pct_rsp",21.88,24.9994285714286
"SK","SVK","Slovak Republic","cigarette_excise_1k_pct_rsp",23,24.9994285714286
"TR","TUR","Turkey","cigarette_excise_1k_pct_rsp",67,24.9994285714286
"US","USA","United States","cigarette_excise_1k_pct_rsp",NA,24.9994285714286
"AT","AUT","Austria","roll_tob_excise_1kg_pct_rsp",56,17.276875
"AU","AUS","Australia","roll_tob_excise_1kg_pct_rsp",0,17.276875
"BE","BEL","Belgium","roll_tob_excise_1kg_pct_rsp",31.5,17.276875
"CA","CAN","Canada","roll_tob_excise_1kg_pct_rsp",0,17.276875
"CH","CHE","Switzerland","roll_tob_excise_1kg_pct_rsp",25,17.276875
"CL","CHL","Chile","roll_tob_excise_1kg_pct_rsp",59.7,17.276875
"CO","COL","Colombia","roll_tob_excise_1kg_pct_rsp",10,17.276875
"CZ","CZE","Czech Republic","roll_tob_excise_1kg_pct_rsp",NA,17.276875
"DE","DEU","Germany","roll_tob_excise_1kg_pct_rsp",14.76,17.276875
"DK","DNK","Denmark","roll_tob_excise_1kg_pct_rsp",0,17.276875
"EE","EST","Estonia","roll_tob_excise_1kg_pct_rsp",0,17.276875
"ES","ESP","Spain","roll_tob_excise_1kg_pct_rsp",41.5,17.276875
"FI","FIN","Finland","roll_tob_excise_1kg_pct_rsp",52,17.276875
"FR","FRA","France","roll_tob_excise_1kg_pct_rsp",46.7,17.276875
"GB","GBR","United Kingdom","roll_tob_excise_1kg_pct_rsp",0,17.276875
"GR","GRC","Greece","roll_tob_excise_1kg_pct_rsp",0,17.276875
"HU","HUN","Hungary","roll_tob_excise_1kg_pct_rsp",0,17.276875
"IE","IRL","Ireland","roll_tob_excise_1kg_pct_rsp",0,17.276875
"IL","ISR","Israel","roll_tob_excise_1kg_pct_rsp",0,17.276875
"IS","ISL","Iceland","roll_tob_excise_1kg_pct_rsp",0,17.276875
