"","category","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","reference"
"82","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31594",NA,"32143","32509",NA,NA,NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41640",NA,NA,NA,NA,NA,NA,"82"
"83","Overseas Departments (DOM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.5","1.05/1.75/2.1/8.6","83"
"84","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84"
"85","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85"
"86","Standard rate","-","11","11","11","11","11","11","11","11","11","11","12","13","13","13","13","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","16","16","16","16","19","19","19","19","19","19","19","19","19","19","19","19","19","16","86"
"87","Implementation date",NA,"24838",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28491","29037",NA,NA,NA,"30498",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,NA,NA,NA,"35886",NA,NA,NA,NA,NA,NA,NA,NA,"39083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44013","87"
"88","Reduced rates","-","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","6","6.5","6.5","6.5","6.5","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","5","88"
"89","Implementation dates",NA,"24838",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28491","01-0171979",NA,NA,NA,"30498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44013","89"
"90","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90"
"91","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18","16","16","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","19","19","19","19","19","23","23","23","23","23","23","24","24","24","24","24","91"
"92","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31778","32143",NA,"32874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38443",NA,NA,NA,NA,"40360",NA,NA,NA,NA,NA,"42522",NA,NA,NA,NA,"92"
"93","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.0/6.0","3.0/6.0","3.0/6.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.5/9.0","4.5/9.0","4.5/9.0","4.5/9.0","4.5/9.0","5.5/11.0","6.5/13.0","6.5/13.0","6.5/13.0","6.5/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","93"
"94","Implementation dates","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31778",NA,NA,"32874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38443",NA,NA,NA,NA,"40360","40544",NA,NA,NA,"42205",NA,NA,NA,NA,NA,"94"
"95","Higher rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36","36","36","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,"95"
"96","Implementation dates","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31778",NA,NA,NA,"33824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96"
"97","Specific regional rates","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97"
"98","Islands of Chios, Kos, Leros, Lesbos, Samos (reduced rates were gradually removed for the other islands of the Aegeansince 2015)","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98"
"99","Standard rate",NA,NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","11","11","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","16","16","16","16","16","16","17","17","17","17","17","99"
"100","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31778","32143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40360",NA,NA,NA,NA,"01-10-2015 See note","42522",NA,NA,NA,NA,"100"
"101","Reduced rates",NA,NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0/4.0","2.0/4.0","2.0/4.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/8.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0","101"
"102","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40360","40544",NA,NA,NA,"01-10-2015 See note","42522",NA,NA,NA,NA,"102"
"103","Higher rate",NA,NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","25","25","25","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103"
"104","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31778",NA,NA,NA,"33824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104"
"105","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105"
"106","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","20","20","20","25","25","25","27","27","27","27","27","27","27","27","27","106"
"107","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38718",NA,NA,"39995",NA,NA,"40909",NA,NA,NA,NA,NA,NA,NA,NA,"107"
"108","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0/15.0","0.0/15.0","0.0/15.0","0.0/15.0","0.0/15.0","10","10","0.0/12.0","0.0/12.0","0.0/12.0","0.0/12.0","0.0/12.0","0.0/12.0","0.0/12.0","0.0/12.0","0.0/12.0","5.0/15.0","5.0/15.0","5","5","5","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","5.0/18.0","108"
"109","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32143",NA,NA,NA,NA,"34182",NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,"37987",NA,"38961",NA,NA,"39995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109"
"110","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110"
"111","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","25.5","25.5","25.5","25.5","25.5","24","24","24","24","24","24","111"
"112","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40179",NA,NA,NA,NA,"42005",NA,NA,NA,NA,NA,"112"
"113","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14","14","14","14","14","14","14","14","14","14","14","14","14","14","7","7","7","7","7","7","7","7","11","11","11","11","11","11","113"
"114","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39142",NA,NA,NA,NA,NA,NA,NA,"42005",NA,NA,NA,NA,NA,"114"
"115","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115"
"116","Standard rate","-","-","-","-","-","16.37","19.5","19.5","19.5","20","20","20","20","25","25","30","35","35","23","25","25","25","25","23","21","21","21","21","21","21","21","21","21","21","20","21","21","21","21","21","21","21.5","21.5","21","21","23","23","23","23","23","23","23","23","23","116"
"117","Implementation date",NA,NA,NA,NA,NA,"26299","26910",NA,NA,"27820",NA,NA,NA,"29342",NA,"30072","30376",NA,"31107","31472",NA,NA,NA,"32933","33298",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36892","37316",NA,NA,NA,NA,NA,"39783",NA,"40179",NA,"40909",NA,NA,NA,NA,NA,NA,NA,NA,"117"
"118","Reduced rates","-","-","-","-","-","1.0/5.26/11.11","1.0/5.26/11.11","1.0/5.26/11.11","1.0/5.26/11.11","10","10","10","1.0/10.0","1.0/10.0","1.5/15.0","1.8/18.0","2.3/5.0/18.0","2.0/5.0/8.0/18.0","2.2/10.0","2.4/10.0","1.7/10.0","1.4/5.0/10.0","2.0/5.0/10.0","2.3/10.0","2.3/10.0/12.5","2.7/10.0/12.5/16.0","2.5/12.5","2.5/12.5","2.5/12.5","2.8/12.5","3.3/12.5","3.6/12.5","4.0/12.5","4.2/12.5","4.3/12.5","4.3/12.5","4.3/12.5","4.4/13.5","4.8/13.5","4.8/13.5","4.8/13.5","4.8/13.5","4.8/13.5","4.8/13.5","4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","0.0/4.8/9.0/13.5","118"
"119","Implementation dates",NA,NA,NA,NA,NA,"26299",NA,NA,NA,"27820",NA,NA,"28915",NA,"29830","30072","30376","30803","31107","31472","31898","32203","32568","32933","33298","33664","34029",NA,NA,"35065","35490","35855","36220","36586","36892",NA,"37622","37987","38353",NA,NA,NA,NA,NA,"40725",NA,NA,NA,NA,NA,NA,NA,NA,NA,"119"
"120","Higher rate","-","-","-","-","-","30.26","36.75","36.75","36.75","35.0/40.0","35.0/40.0","35.0/40.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120"
"121","Implementation dates",NA,NA,NA,NA,NA,"26299","26910",NA,NA,"27820",NA,NA,"28915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121"
"122","Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122"
"123","Standard rate","-","-","-","-","-","-","-","-","-","8","12","12","12","12","12","15","15","15","15","15","15","15","15","16","18","18","17","17","17","17","17","17","17","17","17","18","18","17","16.5","15.5","15.5","15.5","16.5","16","16","17","18","18","17","17","17","17","17","17","123"
"124","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27942","28430",NA,NA,NA,NA,"30164",NA,NA,NA,NA,NA,NA,NA,"32933","33239",NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,"37412",NA,"38047","38596","38899",NA,NA,"39995","40179",NA,"41153","41427",NA,"42278",NA,NA,NA,NA,NA,"124"
"125","Reduced rate","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125"
"126","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"126"
"127","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"127"
"128","Standard rate","-","-","-","-","-","-","12","12","12","12","14","14","14","14","15","18","18","18","18","18","18","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","20","20","21","21","22","22","22","22","22","22","22","22","128"
"129","Implementation date",NA,NA,NA,NA,NA,NA,"26665",NA,NA,NA,"28164",NA,NA,NA,"29587","30168",NA,NA,NA,NA,NA,"32356",NA,NA,NA,NA,NA,NA,NA,NA,"35704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40803",NA,"41548",NA,NA,NA,NA,NA,NA,NA,"129"
"130","Reduced rates","-","-","-","-","-","-","6","6","6","1.0/3.0/6.0/9.0","1.0/3.0/6.0/9.0/12.0","1.0/3.0/6.0/9.0/12.0","1.0/3.0/6.0/9.0/12.0","1.0/2.0/3.0/6.0/9.0/12.0","2.0/8.0","2.0/8.0/10.0/15.0","2.0/8.0/10.0/15.0","2.0/9.0","2.0/9.0","2.0/9.0","2.0/9.0","2.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0/12","4.0/9.0/12","4.0/9.012.0","4.0/9.013.0","4.0/10.0/16.0","4.0/10.0/16.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","130"
"131","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,NA,"28117","28164",NA,NA,"29526","29587","30168",NA,"31036",NA,NA,NA,NA,"32509",NA,"33361",NA,NA,"34335","34754",NA,"35704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42370",NA,NA,NA,NA,"131"
"132","Higher rate","-","-","-","-","-","-","18","18","18.0/30.0","18.0/30.0","18.0/35.0","18.0/35.0","18.0/35.0","15.0/18.0/35.0","18.0/35.0","20.0/38.0","20.0/38.0","30","30","30","30","38","38","38","38","38","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"132"
"133","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,"27395",NA,"28164",NA,NA,"29526",NA,"30168",NA,"31036",NA,NA,NA,"32356",NA,NA,NA,NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133"
"134","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134"
"135","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","3","3","3","3","3","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","8","8","8","8","8","10","10","135"
"136","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32599",NA,NA,NA,NA,NA,NA,NA,"35521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41730",NA,NA,NA,NA,"43739",NA,"136"
"137","Reduced rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","8","137"
"138","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43739",NA,"138"
"139","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139"
"140","Standard rate","-","-","-","-","-","-","-","-","-","-","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","140"
"141","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141"
"142","Reduced rate","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142"
"143","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143"
"144","Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144"
"145","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","21","21","22","21","21","21","21","21","21","21","21","21","145"
"146","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39814",NA,"40544","41091",NA,NA,NA,NA,NA,NA,NA,NA,"146"
"147","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","-","9","5","5","5","5","5","10","10","12","12","12","12","12","12","12","5.00/12.00","5.00/12.00","5.00/12.0","147"
"148","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37622","38108",NA,NA,NA,NA,"39814",NA,"40544",NA,NA,NA,NA,NA,NA,"43101",NA,NA,"148"
"149","Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149"
"150","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","19.0 - 21.0","21","21","21","21","21","21","21","21","21","21","21","150"
"151","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01-01-2009 / 01-09-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"151"
"152","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,"9","9","9","-","-","-","5","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","152"
"153","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34547",NA,NA,"35431",NA,NA,"36647","36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153"
"154","Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154"
"155","Standard rate","-","-","-","8","10","10","10","10","10","10","10","10","10","10","10","10","12","12","12","12","12","12","12","12","12","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","17","17","17","17","17","17","155"
